<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
Dollar,d,20100621,000000,10420.0000,10420.0000,10420.0000,10420.0000,0,10420.0000,43788
Dollar,d,20100622,000000,10470.0000,10470.0000,10470.0000,10470.0000,0,10470.0000,43788
Dollar,d,20100623,000000,10490.0000,10490.0000,10490.0000,10490.0000,0,10490.0000,43788
Dollar,d,20100624,000000,10490.0000,10490.0000,10490.0000,10490.0000,0,10490.0000,43788
Dollar,d,20100627,000000,10480.0000,10480.0000,10480.0000,10480.0000,0,10480.0000,43788
Dollar,d,20100628,000000,10480.0000,10480.0000,10480.0000,10480.0000,0,10480.0000,43788
Dollar,d,20100629,000000,10520.0000,10520.0000,10520.0000,10520.0000,0,10520.0000,43788
Dollar,d,20100630,000000,10550.0000,10550.0000,10550.0000,10550.0000,0,10550.0000,43788
Dollar,d,20100701,000000,10560.0000,10560.0000,10560.0000,10560.0000,0,10560.0000,43788
Dollar,d,20100703,000000,10460.0000,10460.0000,10460.0000,10460.0000,0,10460.0000,43788
Dollar,d,20100704,000000,10460.0000,10460.0000,10460.0000,10460.0000,0,10460.0000,43788
Dollar,d,20100705,000000,10480.0000,10480.0000,10480.0000,10480.0000,0,10480.0000,43788
Dollar,d,20100706,000000,10490.0000,10490.0000,10490.0000,10490.0000,0,10490.000,43788
Dollar,d,20100707,000000,10480.0000,10480.0000,10480.0000,10480.0000,0,10480.0000,43788
